700729.33310000	5697219.17200000	158.37760000
700730.33310000	5697219.17200000	158.44040000
700731.33310000	5697219.17200000	158.43474141
700732.33310000	5697219.17200000	158.37760000
700733.33310000	5697219.17200000	158.44040000
700734.33310000	5697219.17200000	158.43164980
700735.33310000	5697219.17200000	158.44372382
700736.33310000	5697219.17200000	158.44568892
700737.33310000	5697219.17200000	158.44917363
700738.33310000	5697219.17200000	158.45021711
700739.33310000	5697219.17200000	158.47028246
700740.33310000	5697219.17200000	158.47202279
700741.33310000	5697219.17200000	158.49395344
700742.33310000	5697219.17200000	158.50108090
700743.33310000	5697219.17200000	158.50190953
700744.33310000	5697219.17200000	158.50399485
700745.33310000	5697219.17200000	158.50499454
700746.33310000	5697219.17200000	158.50631481
700747.33310000	5697219.17200000	158.50690832
700729.33310000	5697220.17200000	158.37760000
700730.33310000	5697220.17200000	158.37760000
700731.33310000	5697220.17200000	158.43745805
700732.33310000	5697220.17200000	158.37760000
700733.33310000	5697220.17200000	158.44040000
700734.33310000	5697220.17200000	158.43272763
700735.33310000	5697220.17200000	158.43205336
700736.33310000	5697220.17200000	158.43525725
700737.33310000	5697220.17200000	158.43926950
700738.33310000	5697220.17200000	158.44372683
700739.33310000	5697220.17200000	158.45124878
700740.33310000	5697220.17200000	158.46537978
700741.33310000	5697220.17200000	158.46887422
700742.33310000	5697220.17200000	158.47065231
700743.33310000	5697220.17200000	158.48090010
700744.33310000	5697220.17200000	158.48584272
700745.33310000	5697220.17200000	158.49047822
700746.33310000	5697220.17200000	158.49716265
700747.33310000	5697220.17200000	158.49442474
700729.33310000	5697221.17200000	158.44040000
700730.33310000	5697221.17200000	158.44040000
700731.33310000	5697221.17200000	158.44040000
700732.33310000	5697221.17200000	158.44040000
700733.33310000	5697221.17200000	158.44040000
700734.33310000	5697221.17200000	158.42728392
700735.33310000	5697221.17200000	158.43776392
700736.33310000	5697221.17200000	158.44196906
700737.33310000	5697221.17200000	158.44811763
700738.33310000	5697221.17200000	158.45754805
700739.33310000	5697221.17200000	158.45586099
700740.33310000	5697221.17200000	158.46369526
700741.33310000	5697221.17200000	158.46877864
700742.33310000	5697221.17200000	158.47064282
700743.33310000	5697221.17200000	158.47433105
700744.33310000	5697221.17200000	158.47814370
700745.33310000	5697221.17200000	158.48808778
700746.33310000	5697221.17200000	158.49041519
700747.33310000	5697221.17200000	158.49816902
700729.33310000	5697222.17200000	158.37760000
700730.33310000	5697222.17200000	158.37760000
700731.33310000	5697222.17200000	158.37760000
700732.33310000	5697222.17200000	158.37760000
700733.33310000	5697222.17200000	158.43755043
700734.33310000	5697222.17200000	158.42503528
700735.33310000	5697222.17200000	158.43156187
700736.33310000	5697222.17200000	158.43580232
700737.33310000	5697222.17200000	158.44247327
700738.33310000	5697222.17200000	158.44929958
700739.33310000	5697222.17200000	158.45489049
700740.33310000	5697222.17200000	158.46502053
700741.33310000	5697222.17200000	158.46722157
700742.33310000	5697222.17200000	158.47412943
700743.33310000	5697222.17200000	158.47886750
700744.33310000	5697222.17200000	158.48185119
700745.33310000	5697222.17200000	158.48736604
700746.33310000	5697222.17200000	158.48696278
700747.33310000	5697222.17200000	158.48793544
700729.33310000	5697223.17200000	158.39050000
700730.33310000	5697223.17200000	158.39050000
700731.33310000	5697223.17200000	158.39050000
700732.33310000	5697223.17200000	158.39050000
700733.33310000	5697223.17200000	158.42806870
700734.33310000	5697223.17200000	158.42412332
700735.33310000	5697223.17200000	158.43303791
700736.33310000	5697223.17200000	158.43462862
700737.33310000	5697223.17200000	158.44572668
700738.33310000	5697223.17200000	158.45037498
700739.33310000	5697223.17200000	158.45467551
700740.33310000	5697223.17200000	158.45884271
700741.33310000	5697223.17200000	158.46651438
700742.33310000	5697223.17200000	158.47239536
700743.33310000	5697223.17200000	158.47722927
700744.33310000	5697223.17200000	158.47901638
700745.33310000	5697223.17200000	158.48497786
700746.33310000	5697223.17200000	158.48467431
700747.33310000	5697223.17200000	158.48811622
700729.33310000	5697224.17200000	158.33751388
700730.33310000	5697224.17200000	158.35918350
700731.33310000	5697224.17200000	158.35510039
700732.33310000	5697224.17200000	158.34422022
700733.33310000	5697224.17200000	158.35290118
700734.33310000	5697224.17200000	158.35414237
700735.33310000	5697224.17200000	158.33980000
700736.33310000	5697224.17200000	158.36811821
700737.33310000	5697224.17200000	158.37042208
700738.33310000	5697224.17200000	158.40204667
700739.33310000	5697224.17200000	158.43191608
700740.33310000	5697224.17200000	158.44505663
700741.33310000	5697224.17200000	158.45384103
700742.33310000	5697224.17200000	158.47239516
700743.33310000	5697224.17200000	158.47305942
700744.33310000	5697224.17200000	158.47632587
700745.33310000	5697224.17200000	158.47961381
700746.33310000	5697224.17200000	158.48431148
700747.33310000	5697224.17200000	158.48480903
700729.33310000	5697225.17200000	158.34370000
700730.33310000	5697225.17200000	158.34370000
700731.33310000	5697225.17200000	158.34370000
700732.33310000	5697225.17200000	158.36041743
700733.33310000	5697225.17200000	158.35730394
700734.33310000	5697225.17200000	158.36015538
700735.33310000	5697225.17200000	158.35907710
700736.33310000	5697225.17200000	158.36969843
700737.33310000	5697225.17200000	158.35719672
700738.33310000	5697225.17200000	158.35899898
700739.33310000	5697225.17200000	158.37193498
700740.33310000	5697225.17200000	158.37929737
700741.33310000	5697225.17200000	158.40996244
700742.33310000	5697225.17200000	158.40974209
700743.33310000	5697225.17200000	158.43908624
700744.33310000	5697225.17200000	158.42350966
700745.33310000	5697225.17200000	158.45876400
700746.33310000	5697225.17200000	158.45364304
700747.33310000	5697225.17200000	158.48584236
700729.33310000	5697226.17200000	158.33060000
700730.33310000	5697226.17200000	158.33060000
700731.33310000	5697226.17200000	158.33060000
700732.33310000	5697226.17200000	158.34821384
700733.33310000	5697226.17200000	158.35459969
700734.33310000	5697226.17200000	158.35622359
700735.33310000	5697226.17200000	158.34853195
700736.33310000	5697226.17200000	158.35567918
700737.33310000	5697226.17200000	158.34821339
700738.33310000	5697226.17200000	158.36728909
700739.33310000	5697226.17200000	158.34373169
700740.33310000	5697226.17200000	158.38103549
700741.33310000	5697226.17200000	158.38896399
700742.33310000	5697226.17200000	158.39403369
700743.33310000	5697226.17200000	158.39327624
700744.33310000	5697226.17200000	158.40077103
700745.33310000	5697226.17200000	158.40578751
700746.33310000	5697226.17200000	158.42367991
700747.33310000	5697226.17200000	158.42636053
700729.33310000	5697227.17200000	158.32490000
700730.33310000	5697227.17200000	158.32490000
700731.33310000	5697227.17200000	158.32490000
700732.33310000	5697227.17200000	158.33288314
700733.33310000	5697227.17200000	158.35795603
700734.33310000	5697227.17200000	158.36605791
700735.33310000	5697227.17200000	158.35804602
700736.33310000	5697227.17200000	158.35676707
700737.33310000	5697227.17200000	158.34576968
700738.33310000	5697227.17200000	158.30960000
700739.33310000	5697227.17200000	158.36457755
700740.33310000	5697227.17200000	158.37292543
700741.33310000	5697227.17200000	158.39820307
700742.33310000	5697227.17200000	158.39912301
700743.33310000	5697227.17200000	158.40737558
700744.33310000	5697227.17200000	158.40350288
700745.33310000	5697227.17200000	158.41139876
700746.33310000	5697227.17200000	158.41067359
700747.33310000	5697227.17200000	158.41068915
700729.33310000	5697228.17200000	158.32730000
700730.33310000	5697228.17200000	158.32730000
700731.33310000	5697228.17200000	158.32730000
700732.33310000	5697228.17200000	158.35353236
700733.33310000	5697228.17200000	158.35116604
700734.33310000	5697228.17200000	158.35967412
700735.33310000	5697228.17200000	158.35432990
700736.33310000	5697228.17200000	158.36329624
700737.33310000	5697228.17200000	158.35333681
700738.33310000	5697228.17200000	158.36498571
700739.33310000	5697228.17200000	158.27480000
700740.33310000	5697228.17200000	158.37569653
700741.33310000	5697228.17200000	158.38411974
700742.33310000	5697228.17200000	158.39203781
700743.33310000	5697228.17200000	158.39281305
700744.33310000	5697228.17200000	158.39837094
700745.33310000	5697228.17200000	158.40232650
700746.33310000	5697228.17200000	158.40692472
700747.33310000	5697228.17200000	158.40593105
700729.33310000	5697229.17200000	158.30820000
700730.33310000	5697229.17200000	158.30820000
700731.33310000	5697229.17200000	158.30820000
700732.33310000	5697229.17200000	158.33049679
700733.33310000	5697229.17200000	158.36080851
700734.33310000	5697229.17200000	158.36023592
700735.33310000	5697229.17200000	158.36064520
700736.33310000	5697229.17200000	158.35300000
700737.33310000	5697229.17200000	158.35471212
700738.33310000	5697229.17200000	158.34732467
700739.33310000	5697229.17200000	158.35995511
700740.33310000	5697229.17200000	158.35885908
700741.33310000	5697229.17200000	158.38805148
700742.33310000	5697229.17200000	158.39165209
700743.33310000	5697229.17200000	158.40485368
700744.33310000	5697229.17200000	158.40389331
700745.33310000	5697229.17200000	158.40554881
700746.33310000	5697229.17200000	158.40624402
700747.33310000	5697229.17200000	158.40405226
700729.33310000	5697230.17200000	158.37000000
700730.33310000	5697230.17200000	158.37000000
700731.33310000	5697230.17200000	158.37000000
700732.33310000	5697230.17200000	158.35923723
700733.33310000	5697230.17200000	158.35823226
700734.33310000	5697230.17200000	158.36101261
700735.33310000	5697230.17200000	158.35590334
700736.33310000	5697230.17200000	158.35969168
700737.33310000	5697230.17200000	158.35397093
700738.33310000	5697230.17200000	158.35133743
700739.33310000	5697230.17200000	158.30490000
700740.33310000	5697230.17200000	158.34463833
700741.33310000	5697230.17200000	158.36330794
700742.33310000	5697230.17200000	158.38346885
700743.33310000	5697230.17200000	158.38398431
700744.33310000	5697230.17200000	158.39424145
700745.33310000	5697230.17200000	158.39715574
700746.33310000	5697230.17200000	158.39932380
700747.33310000	5697230.17200000	158.40104040
700729.33310000	5697231.17200000	158.37010000
